constructorResultsId,raceId,constructorId,points,status,driver1,driver2
734,87,sauber,0,\N,0,0
737,87,williams,0,\N,0,0
738,88,mclaren,10,\N,10,0
740,88,williams,5,\N,5,0
742,88,red_bull,3,\N,3,0
743,88,ferrari,2,\N,2,0
745,88,sauber,0,\N,0,0
749,89,mclaren,8,\N,8,0
751,89,red_bull,4,\N,4,0
752,89,sauber,3,\N,3,0
753,89,williams,2,\N,2,0
756,89,ferrari,0,\N,0,0
758,90,ferrari,18,\N,10,8
760,90,williams,9,\N,5,4
762,90,mclaren,1,\N,1,0
763,90,sauber,0,\N,0,0
768,91,ferrari,15,\N,10,5
769,91,williams,8,\N,8,0
772,91,mclaren,3,\N,3,0
773,91,sauber,1,\N,1,0
778,92,ferrari,18,\N,10,8
781,92,williams,2,\N,2,0
784,92,sauber,0,\N,0,0
787,92,mclaren,0,\N,0,0
788,93,ferrari,13,\N,10,3
790,93,williams,8,\N,6,2
792,93,mclaren,1,\N,1,0
793,93,sauber,0,\N,0,0
798,94,ferrari,18,\N,10,8
801,94,williams,3,\N,3,0
802,94,sauber,2,\N,2,0
803,94,mclaren,0,\N,0,0
810,95,ferrari,6,\N,6,0
811,95,williams,5,\N,5,0
812,95,sauber,4,\N,4,0
816,95,mclaren,0,\N,0,0
818,96,ferrari,18,\N,10,8
821,96,sauber,3,\N,3,0
823,96,williams,1,\N,1,0
827,96,mclaren,0,\N,0,0
828,97,ferrari,18,\N,10,8
830,97,sauber,5,\N,5,0
831,97,mclaren,7,\N,4,3
836,97,williams,0,\N,0,0
838,98,ferrari,18,\N,10,8
842,98,mclaren,5,\N,3,2
844,98,sauber,0,\N,0,0
846,98,williams,0,\N,0,0
848,99,ferrari,16,\N,10,6
851,99,mclaren,5,\N,3,2
852,99,williams,1,\N,1,0
854,99,sauber,0,\N,0,0
858,100,ferrari,16,\N,10,6
859,100,mclaren,10,\N,8,2
861,100,williams,4,\N,4,0
862,100,sauber,3,\N,3,0
868,101,ferrari,10,\N,10,0
871,101,mclaren,5,\N,5,0
872,101,williams,6,\N,4,2
874,101,sauber,0,\N,0,0
878,102,ferrari,18,\N,10,8
880,102,williams,7,\N,5,2
882,102,sauber,1,\N,1,0
883,102,mclaren,0,\N,0,0
888,103,mclaren,12,\N,10,2
889,103,ferrari,14,\N,8,6
890,103,sauber,9,\N,5,4
895,103,williams,0,\N,0,0
898,104,ferrari,18,\N,10,8
900,104,williams,6,\N,4,2
901,104,mclaren,3,\N,3,0
902,104,sauber,1,\N,1,0
908,105,ferrari,10,\N,10,0
910,105,mclaren,6,\N,6,0
912,105,williams,4,\N,4,0
913,105,sauber,3,\N,2,1
918,106,ferrari,10,\N,10,0
919,106,williams,10,\N,8,2
922,106,mclaren,3,\N,3,0
923,106,sauber,1,\N,1,0
928,107,williams,14,\N,10,4
929,107,mclaren,8,\N,8,0
930,107,ferrari,8,\N,6,2
933,107,sauber,1,\N,1,0
938,108,mclaren,16,\N,10,6
939,108,williams,9,\N,8,1
940,108,ferrari,5,\N,5,0
942,108,sauber,3,\N,3,0
948,109,mclaren,10,\N,10,0
949,109,ferrari,11,\N,8,3
951,109,williams,5,\N,5,0
953,109,sauber,1,\N,1,0
959,110,mclaren,13,\N,8,5
961,110,sauber,4,\N,4,0
963,110,williams,2,\N,2,0
966,110,ferrari,0,\N,0,0
968,111,ferrari,16,\N,10,6
969,111,mclaren,12,\N,8,4
970,111,williams,7,\N,5,2
974,111,sauber,0,\N,0,0
978,112,ferrari,16,\N,10,6
980,112,williams,9,\N,5,4
985,112,sauber,0,\N,0,0
987,112,mclaren,0,\N,0,0
988,113,ferrari,16,\N,10,6
989,113,mclaren,12,\N,8,4
991,113,williams,3,\N,3,0
997,113,sauber,0,\N,0,0
998,114,williams,15,\N,10,5
999,114,mclaren,10,\N,8,2
1000,114,ferrari,7,\N,6,1
1004,114,sauber,0,\N,0,0
1008,115,ferrari,14,\N,10,4
1009,115,williams,14,\N,8,6
1011,115,mclaren,3,\N,3,0
1016,115,sauber,0,\N,0,0
1018,116,williams,18,\N,10,8
1019,116,ferrari,10,\N,6,4
1023,116,sauber,1,\N,1,0
1026,116,mclaren,0,\N,0,0
1028,117,williams,18,\N,10,8
1029,117,ferrari,8,\N,6,2
1030,117,mclaren,9,\N,5,4
1034,117,sauber,0,\N,0,0
1038,118,ferrari,15,\N,10,5
1039,118,williams,8,\N,8,0
1040,118,mclaren,10,\N,6,4
1044,118,sauber,0,\N,0,0
1048,119,williams,10,\N,10,0
1049,119,mclaren,8,\N,8,0
1052,119,ferrari,2,\N,2,0
1054,119,sauber,0,\N,0,0
1059,120,mclaren,12,\N,8,4
1060,120,williams,11,\N,6,5
1062,120,ferrari,1,\N,1,0
1063,120,sauber,0,\N,0,0
1068,121,ferrari,16,\N,10,6
1069,121,williams,12,\N,8,4
1070,121,mclaren,5,\N,5,0
1074,121,sauber,0,\N,0,0
1078,122,ferrari,10,\N,10,0
1079,122,mclaren,8,\N,8,0
1080,122,sauber,10,\N,6,4
1082,122,williams,3,\N,3,0
1088,123,ferrari,11,\N,10,1
1089,123,mclaren,14,\N,8,6
1093,123,sauber,0,\N,0,0
1095,123,williams,0,\N,0,0
1098,124,ferrari,10,\N,10,0
1099,124,williams,6,\N,6,0
1100,124,mclaren,4,\N,4,0
1108,124,sauber,0,\N,0,0
1109,125,williams,16,\N,10,6
1110,125,ferrari,4,\N,4,0
1112,125,sauber,3,\N,2,1
1119,125,mclaren,0,\N,0,0
1120,126,ferrari,10,\N,10,0
1121,126,williams,8,\N,6,2
1122,126,mclaren,4,\N,4,0
1129,126,sauber,0,\N,0,0
1131,127,ferrari,16,\N,10,6
1132,127,williams,7,\N,4,3
1134,127,mclaren,1,\N,1,0
1136,127,sauber,0,\N,0,0
1142,128,ferrari,10,\N,10,0
1143,128,williams,6,\N,6,0
1144,128,mclaren,4,\N,4,0
1145,128,sauber,5,\N,3,2
1153,129,ferrari,16,\N,10,6
1154,129,williams,7,\N,4,3
1156,129,mclaren,1,\N,1,0
1163,129,sauber,0,\N,0,0
1164,130,mclaren,10,\N,10,0
1165,130,ferrari,6,\N,6,0
1166,130,williams,4,\N,4,0
1170,130,sauber,0,\N,0,0
1175,131,ferrari,14,\N,10,4
1176,131,mclaren,9,\N,6,3
1179,131,williams,0,\N,0,0
1181,131,sauber,0,\N,0,0
1186,132,ferrari,16,\N,10,6
1187,132,mclaren,4,\N,4,0
1188,132,williams,3,\N,3,0
1190,132,sauber,1,\N,1,0
1197,133,ferrari,16,\N,10,6
1198,133,williams,4,\N,4,0
1200,133,sauber,1,\N,1,0
1202,133,mclaren,0,\N,0,0
1208,134,ferrari,10,\N,10,0
1209,134,mclaren,10,\N,6,4
1210,134,williams,5,\N,3,2
1212,134,sauber,0,\N,0,0
1219,135,ferrari,13,\N,10,3
1220,135,williams,10,\N,6,4
1221,135,mclaren,2,\N,2,0
1222,135,sauber,1,\N,1,0
1230,136,ferrari,16,\N,10,6
1231,136,williams,4,\N,4,0
1232,136,mclaren,5,\N,3,2
1234,136,sauber,0,\N,0,0
1240,137,ferrari,16,\N,10,6
1241,137,williams,6,\N,4,2
1242,137,mclaren,3,\N,3,0
1246,137,sauber,0,\N,0,0
1250,138,ferrari,16,\N,10,6
1254,138,mclaren,0,\N,0,0
1256,138,sauber,0,\N,0,0
1259,138,williams,0,\N,0,0
